id,time_event,title_en,title_zh,source_names,match_score
3fc5a5caa080f1e6,2026-07-25 18:11:17,Coinbase to Suspend Across Protocol (ACX) Trading July 28,Coinbase将于7月28日暂停ACX交易,"[""PANews""]",0.426
69f581a55a51dddc,2026-07-25 18:11:17,"HTX lists GS, AAL, TSLLT perpetual contracts",HTX上线GS、AAL、TSLLT永续合约,"[""PANews""]",0.383
842528778295b1b0,2026-07-25 18:11:17,Polygon Ithaca Hard Fork Set for Mainnet on July 29,Polygon Ithaca硬分叉将于7月29日上线主网,"[""PANews""]",0.404
c1d5e04deb314807,2026-07-25 18:11:17,Tropykus to End Frontend Support on July 27,Tropykus将于7月27日停止前端支持,"[""PANews""]",0.381
01601f72a3e20e31,2026-07-25 18:11:16,Former French adviser sues MARA for €11 million commission,MARA前法国顾问索赔超1100万欧元,"[""ChainCatcher""]",0.448
03dd3f623b3460d7,2026-07-25 18:11:16,Galaxy: Q2 dormant Bitcoin awakening hits lowest since Q3 2022,Galaxy：Q2沉寂比特币苏醒量创新低,"[""ChainCatcher""]",0.419
1eb5f671754194f5,2026-07-25 18:11:16,Analyst Says NAND Weakness Rumors May Be Overstated,分析师称NAND利空传言被夸大,"[""ChainCatcher""]",0.388
3757d277d1d4185d,2026-07-25 18:11:16,24-hour crypto liquidations reach $191 million,24小时全网爆仓1.91亿美元,"[""ChainCatcher""]",0.481
41b4952734e319ae,2026-07-25 18:11:16,"BTC drop below $61,147 may trigger $1.01B long liquidations",BTC跌破61147美元或引发10.1亿美元多单清算,"[""ChainCatcher""]",0.435
45b4f2b988b62042,2026-07-25 18:11:16,Upbit Lists Morpho in KRW Market,Upbit上线Morpho韩元交易对,"[""ChainCatcher""]",0.4
7387c88a34f84722,2026-07-25 18:11:16,KOL claims BitMart withdrawals abnormal after BMX drops over 60%,KOL称BMX暴跌后BitMart提现疑异常,"[""ChainCatcher""]",0.345
926582f2ea49b2a1,2026-07-25 18:11:16,Ukraine attacks Russian Caspian oil platform and cargo ships,乌克兰袭击俄里海油平台及货船,"[""ChainCatcher""]",0.391
abfe7b03a742c8ed,2026-07-25 18:11:16,Senate CLARITY draft proposes white-hat bug bounty authority,参议院CLARITY草案拟设白帽赏金,"[""ChainCatcher""]",0.357
bf493313ddab4ef6,2026-07-25 18:11:16,ChatGPT and Codex Face Widespread Outage,ChatGPT与Codex大范围故障,"[""ChainCatcher""]",0.422
589f909365bd39d4,2026-07-25 18:11:13,SummerFi to shut down UI after exploit,SummerFi因漏洞将关闭前端,"[""TheDefiant""]",0.427
5b760b58dd0e0ef1,2026-07-25 18:11:13,NEAR passes vote to end developer gas rebate,NEAR通过取消开发者Gas返还,"[""TheDefiant""]",0.388
858df4959b927a75,2026-07-25 18:11:13,Former Tether CIO Seeks Sale of Small Equity Stake,Tether前首席投资官拟出售小部分股权,"[""TheDefiant""]",0.455
9b1ea9ea8c094001,2026-07-25 18:11:13,EDX Markets Raises $76M in Series C Led by SBI,EDX Markets获7600万美元C轮融资,"[""TheDefiant""]",0.404
4f806285f9f27116,2026-07-25 18:01:01,Binance posts non-substantive social media message,币安发布无实质内容动态,"[""X/binance""]",0.366
2ae06baddb200c5b,2026-07-25 17:47:01,Yahoo article compares two U.S. growth ETFs,雅虎文章比较两只美股成长ETF,"[""YahooFinance""]",0.414
3be15d87676b0481,2026-07-25 17:47:00,Yahoo reports unusual Nvidia stock pattern,雅虎称英伟达股价现罕见走势,"[""YahooFinance""]",0.397
128c723962cfd5ed,2026-07-25 17:45:23,Trump Orders Pause in US Airstrikes on Iran,特朗普下令暂停对伊空袭,"[""金色财经""]",0.455
ff891deb8d24f2ef,2026-07-25 17:38:00,Report Says Trump Paused New Iran Strikes Amid Oman Talks,报道称特朗普暂停对伊新打击,"[""Followin快讯""]",0.385
